arm,model,1,2,3,4
A,CNN,0.8119994067760269,0.8421007969134476,0.8035422577941804,0.8565926289115633
A,KAN,0.751639563992892,0.7694519188566612,0.8614971241090169,0.8286820009679299
A,MLP,0.7515426462236685,0.8369590282681671,0.8580225968041933,0.8602551261936867
A,PLS,0.7187185825881288,0.8055277263249332,0.8582520533145512,0.8376793057338277
A,RF,0.7724593989392137,0.809393919051805,0.7416982085417873,0.7927909798884617
A,SVM,0.6088272031933348,0.8126609062931452,0.8230405186263671,0.8438971003939097
F,CNN,0.8119994067760269,0.8421007969134476,0.8035422577941804,0.8565926289115633
F,KAN,0.6402598135990045,0.7808978913187744,0.8389386721143287,0.8524345656152624
F,MLP,0.756844902176406,0.8331543320610755,0.864606581624679,0.8684465137840517
F,PLS,0.7084637834906314,0.7765938944597133,0.8734770300636852,0.8452398285577665
F,RF,0.7724593989392137,0.8095940320878542,0.7416941153340404,0.7930301641805615
F,SVM,0.6088272031933348,0.8126609062931452,0.8230405186263671,0.8438971003939097
