arm,model,mean,sd,median,worst,folds
A,CNN,0.8285587725988046,0.02496211884519782,0.8270501018447373,0.8035422577941804,4
A,KAN,0.802817651981625,0.05113613801994156,0.7990669599122955,0.751639563992892,4
A,MLP,0.8266948493724289,0.05118895371068564,0.8474908125361802,0.7515426462236685,4
A,PLS,0.8050444169903602,0.06150466594673997,0.8216035160293804,0.7187185825881288,4
A,RF,0.7790856266053169,0.029144211673319913,0.7826251894138376,0.7416982085417873,4
A,SVM,0.7721064321266893,0.10962504761503991,0.8178507124597562,0.6088272031933348,4
F,CNN,0.8285587725988046,0.02496211884519782,0.8270501018447373,0.8035422577941804,4
F,KAN,0.7781327356618425,0.09701325092694503,0.8099182817165516,0.6402598135990045,4
F,MLP,0.830763082411553,0.05175274190210177,0.8488804568428772,0.756844902176406,4
F,PLS,0.8009436341429491,0.07386627323017789,0.8109168615087399,0.7084637834906314,4
F,RF,0.7791944276354175,0.029252906356182502,0.7827447815598876,0.7416941153340404,4
F,SVM,0.7721064321266893,0.10962504761503991,0.8178507124597562,0.6088272031933348,4
