arm,model,lot,n_spectra,threshold_tahini_pct,pred_adulterant_mean,pred_adulterant_sd,false_positive_rate_spectra,sample_mean_flagged
F,CNN,T1,150,92.5,2.0248495313856334,2.627044576387543,0.04666666666666667,False
F,CNN,T2,151,89.0,13.635174799702288,6.2283231260812455,0.5894039735099338,True
F,CNN,T3,151,91.5,0.9087147323237879,0.6894199666611829,0.0,False
F,CNN,T4,151,92.5,1.4210839176809558,2.0416461270546544,0.026490066225165563,False
F,CNN,T5,151,93.0,5.827194011764021,5.833713920249515,0.25165562913907286,False
F,KAN,T1,150,92.5,13.582076110839843,2.5125061780026807,0.9933333333333333,True
F,KAN,T2,151,89.0,3.501973402684362,1.3926955180581955,0.0,False
F,KAN,T3,151,91.5,1.8862169952055747,1.2049209257186857,0.0,False
F,KAN,T4,151,92.5,4.569898508505579,0.8250156986789347,0.0,False
F,KAN,T5,151,93.0,9.005616194365041,3.7825601650747784,0.7284768211920529,True
F,MLP,T1,150,92.5,12.254327019585503,1.7632262906078444,1.0,True
F,MLP,T2,151,89.0,3.2279720516920616,1.9750951545609692,0.0,False
F,MLP,T3,151,91.5,0.6902398115751762,0.26211845807245615,0.0,False
F,MLP,T4,151,92.5,3.9129875469418285,0.720242566660772,0.0,False
F,MLP,T5,151,93.0,10.947915352996084,2.516468804668885,0.9337748344370861,True
F,PLS,T1,150,92.5,6.4677552,2.0237317759000435,0.3,False
F,PLS,T2,151,89.0,5.749154701986756,1.9789737503722507,0.006622516556291391,False
F,PLS,T3,151,91.5,1.1806459602649007,1.2810862660368498,0.0,False
F,PLS,T4,151,92.5,2.304424503311258,0.9348692681594135,0.0,False
F,PLS,T5,151,93.0,10.353310728476822,1.8069720931112352,0.9602649006622517,True
F,RF,T1,150,92.5,19.905247022222223,4.58738474109475,1.0,True
F,RF,T2,151,89.0,1.0637884105960254,2.948945557705114,0.039735099337748346,False
F,RF,T3,151,91.5,1.1389466004415014,1.544428387442564,0.0,False
F,RF,T4,151,92.5,8.329181368653423,7.440806911846395,0.46357615894039733,True
F,RF,T5,151,93.0,5.951083863134658,5.4657224173994585,0.3576158940397351,False
F,SVM,T1,150,92.5,33.092945533333335,2.9827620761457547,1.0,True
F,SVM,T2,151,89.0,12.426440066225165,5.386584948190024,0.543046357615894,True
F,SVM,T3,151,91.5,5.73383178807947,4.911886894772054,0.32450331125827814,False
F,SVM,T4,151,92.5,16.009081523178804,6.27557317023274,0.9072847682119205,True
F,SVM,T5,151,93.0,13.496621589403974,5.165963533273032,0.9205298013245033,True
A,CNN,T1,150,92.5,5.1518859693739145,3.7495557585614976,0.2,False
A,CNN,T2,151,89.0,12.702554850125683,5.836796111216604,0.5099337748344371,True
A,CNN,T3,151,91.5,0.9087147323237879,0.6894199666611829,0.0,False
A,CNN,T4,151,92.5,0.8543339744045774,1.119066671695523,0.0,False
A,CNN,T5,151,93.0,5.190477653318156,5.072105913238673,0.2251655629139073,False
A,KAN,T1,150,92.5,4.56355936686198,1.9458015694867337,0.1,False
A,KAN,T2,151,89.0,3.5019752552967196,1.3926975167172309,0.0,False
A,KAN,T3,151,91.5,1.102755851829815,0.8683309783564487,0.006622516556291391,False
A,KAN,T4,151,92.5,3.9955856289558334,0.8423469539424192,0.0,False
A,KAN,T5,151,93.0,8.556412214738119,2.333967032784693,0.7152317880794702,True
A,MLP,T1,150,92.5,11.69989262898763,1.786561611472642,0.9933333333333333,True
A,MLP,T2,151,89.0,3.237904226543099,2.094975347808436,0.0,False
A,MLP,T3,151,91.5,0.6902398115751762,0.26211845807245615,0.0,False
A,MLP,T4,151,92.5,1.466825102075573,0.4979197541533391,0.0,False
A,MLP,T5,151,93.0,10.261000424820855,2.1991460817906803,0.9271523178807947,True
A,PLS,T1,150,92.5,15.308554933333332,2.321041129822964,1.0,True
A,PLS,T2,151,89.0,4.303594834437085,2.0441764708158483,0.0,False
A,PLS,T3,151,91.5,2.44797761589404,1.5848826198162467,0.0,False
A,PLS,T4,151,92.5,2.287466821192053,0.8332864961283291,0.0,False
A,PLS,T5,151,93.0,10.297514966887416,1.7639245708940714,0.9735099337748344,True
A,RF,T1,150,92.5,19.921926044444444,4.488881065983386,1.0,True
A,RF,T2,151,89.0,1.1906573289183224,3.042580283256985,0.039735099337748346,False
A,RF,T3,151,91.5,1.1389466004415014,1.544428387442564,0.0,False
A,RF,T4,151,92.5,8.496280860927154,7.34145828152241,0.46357615894039733,True
A,RF,T5,151,93.0,6.094812008830022,5.630627019004769,0.36423841059602646,False
A,SVM,T1,150,92.5,32.5470762,2.6558963148996506,1.0,True
A,SVM,T2,151,89.0,12.872713774834438,5.511476443012071,0.5562913907284768,True
A,SVM,T3,151,91.5,5.852890794701986,4.674377165125285,0.304635761589404,False
A,SVM,T4,151,92.5,14.0217217218543,5.35372251528134,0.8675496688741722,True
A,SVM,T5,151,93.0,12.648577218543046,4.712420773268188,0.8874172185430463,True
