arm,model,adulterant,level_pct,lot,n_spectra,identification_acc,detection_rate,pred_adulterant_mean,pred_adulterant_sd,abs_error_mean
F,CNN,peanut,4,T1,16,0.5625,0.4375,7.042021751403809,5.353899049511571,4.567086219787596
F,CNN,peanut,8,T2,16,0.625,1.0,23.393983046213783,1.576959091649167,15.393983046213787
F,CNN,peanut,12,T3,16,0.5625,0.625,11.156855742136639,5.083534807276149,4.588822523752847
F,CNN,peanut,16,T4,16,1.0,1.0,18.19857660929362,3.8308811550284765,3.5057179133097343
F,CNN,peanut,20,T5,16,0.875,1.0,28.831241766611736,4.087947899880313,8.831241766611736
F,CNN,peanut,24,T1,16,1.0,0.9375,25.049669583638508,8.10650690710668,6.519079208374023
F,CNN,peanut,28,T2,16,1.0,1.0,34.465943813323975,3.972710639703203,6.481263319651287
F,CNN,peanut,32,T3,16,1.0,1.0,20.682117144266766,4.427660774286214,11.317882855733234
F,CNN,peanut,36,T4,16,1.0,1.0,29.82817737261454,2.998722608247106,6.171822627385459
F,CNN,peanut,40,T5,16,1.0,1.0,44.99928180376689,3.847360465223194,5.339176098505655
F,CNN,peanut,44,T1,16,1.0,1.0,43.62058107058208,3.0044428304819606,2.604892174402873
F,CNN,peanut,48,T2,16,1.0,1.0,50.33462874094646,2.923020574560671,3.0941332181294765
F,CNN,peanut,52,T3,16,1.0,1.0,42.60849801699321,11.566234211990281,10.284386078516642
F,CNN,peanut,56,T4,16,1.0,1.0,51.75481986999512,3.496064536580085,4.308297952016195
F,CNN,peanut,60,T5,16,1.0,1.0,62.11900273958842,2.1937059917498756,2.4309848944346104
F,CNN,peanut,64,T1,17,1.0,1.0,60.98123527975643,2.063742664902674,3.2381101122089455
F,CNN,peanut,68,T2,16,1.0,1.0,69.67545847098033,1.9275601051782663,1.9398596684137983
F,CNN,peanut,72,T3,16,1.0,1.0,75.5383120973905,5.078155361376642,4.050198217233022
F,CNN,peanut,76,T4,16,1.0,1.0,75.18221052487692,1.8398995182814069,1.550310929616293
F,CNN,peanut,80,T5,16,1.0,1.0,82.77982314427695,3.2716947843008324,3.6272086302439375
F,CNN,peanut,84,T1,16,1.0,1.0,81.6562732855479,2.522146781194034,2.737748344739278
F,CNN,peanut,88,T2,16,1.0,1.0,88.12924806276956,2.728653069534294,2.0656773547331495
F,CNN,peanut,92,T3,16,1.0,1.0,94.99963019788265,2.65077566074441,3.521941011150677
F,CNN,peanut,96,T4,16,1.0,1.0,95.80187313258648,2.2878350570761548,1.8071168512105933
F,CNN,peanut,100,T5,16,1.0,1.0,97.71852166205645,2.097295291522484,2.281478337943555
F,CNN,sunflower,4,T1,16,0.875,0.0,1.1473309199015285,1.6948773798512704,3.181271870930991
F,CNN,sunflower,8,T2,16,0.5625,1.0,22.589902003606163,5.229171056388316,14.589902003606161
F,CNN,sunflower,12,T3,15,0.4,0.06666666666666667,3.9827490912543406,2.6646888652540324,8.017250908745659
F,CNN,sunflower,16,T4,16,0.1875,0.8125,11.550644874572754,3.4231960271348725,4.449355125427245
F,CNN,sunflower,20,T5,16,0.875,1.0,27.414023001988728,11.785034010182446,13.068191766738892
F,CNN,sunflower,24,T1,16,0.9375,0.5625,8.378132025400799,5.987760592852743,15.621867974599201
F,CNN,sunflower,28,T2,16,1.0,1.0,37.06381869316101,4.051685154830394,9.06381869316101
F,CNN,sunflower,32,T3,16,1.0,1.0,25.86295994122823,5.963178261078151,7.30737312634786
F,CNN,sunflower,36,T4,16,1.0,1.0,30.501010735829674,5.652573205280168,6.708463509877522
F,CNN,sunflower,40,T5,17,1.0,1.0,47.23246263990215,3.8458684324554393,7.232462639902152
F,CNN,sunflower,44,T1,16,1.0,1.0,48.720809618632,6.447269811914689,6.470090230305989
F,CNN,sunflower,48,T2,16,1.0,1.0,51.283905029296875,2.4747829894214144,3.5631157557169595
F,CNN,sunflower,52,T3,16,1.0,1.0,44.058450301488236,3.6851993791409035,8.026431798934937
F,CNN,sunflower,56,T4,16,1.0,1.0,56.91935682296753,3.9881591297350236,3.4029442469278974
F,CNN,sunflower,60,T5,16,1.0,1.0,63.94971740245819,2.98667245862985,4.364979465802511
F,CNN,sunflower,64,T1,16,1.0,1.0,65.84480985005698,5.029756706943292,3.8982696533203134
F,CNN,sunflower,68,T2,16,1.0,1.0,68.78956671555838,6.092443582487339,4.850091417630516
