arm,metric,model_A,model_B,diff_median,ci_lo,ci_hi,p_boot,p_holm
F,R2,CNN,KAN,-0.008528029766843637,-0.09269630248840396,0.0543398906647829,0.77,1.0
F,LOD,CNN,KAN,4.14052698856278,-14.483261374658694,24.018700140084732,0.6110552763819096,1.0
F,R2,CNN,MLP,-0.013382268597865343,-0.09344143383211306,0.039482739694333156,0.62,1.0
F,LOD,CNN,MLP,5.305236161078064,-13.139226300364482,22.662903936880568,0.6150753768844222,1.0
F,R2,CNN,PLS,-0.030046620830048054,-0.09985082007818738,0.0012430681283112394,0.073,0.6569999999999999
F,LOD,CNN,PLS,8.009509530508168,-3.6610570584411506,21.346672005905862,0.44321608040201005,1.0
F,R2,CNN,RF,0.061290666315412634,-0.05634740717506967,0.22237875961577003,0.3,1.0
F,LOD,CNN,RF,-9.622847956616653,-32.70332438163796,15.57795032789182,0.4984924623115578,1.0
F,R2,CNN,SVM,0.11186432020066733,-0.014404375441695372,0.46557886266237547,0.116,0.928
F,LOD,CNN,SVM,-19.084311359073862,-58.297963603624396,4.917710397206654,0.35477386934673366,1.0
F,R2,KAN,MLP,-0.004409902163153567,-0.022063350291445218,0.010146965428676949,0.591,1.0
F,LOD,KAN,MLP,0.38934051471460407,-3.223147426093066,6.1900698256690765,0.91356783919598,1.0
F,R2,KAN,PLS,-0.017238410270936477,-0.0731153193689352,0.005216356553616977,0.185,1.0
F,LOD,KAN,PLS,3.165904911891329,-3.8592440765196687,12.341975527021768,0.7085427135678392,1.0
F,R2,KAN,RF,0.0749363167422174,0.01411135383999881,0.1848181962605452,0.002,0.024
F,LOD,KAN,RF,-15.695458276544018,-24.946430439500816,-1.3813016131284162,0.0010050251256281408,0.01206030150753769
F,R2,KAN,SVM,0.13129466019261665,0.036103851460846215,0.4250032209982002,0.0,0.0
F,LOD,KAN,SVM,-25.23622291613875,-44.974107353991585,-7.107187909977165,0.0,0.0
F,R2,MLP,PLS,-0.013617912408705635,-0.05492936454920877,0.003639716080612986,0.16,1.0
F,LOD,MLP,PLS,2.859318230474708,-3.314009250204349,10.410304708800641,0.5135678391959799,1.0
F,R2,MLP,RF,0.07944133804952341,0.007061536216892303,0.2047264322638047,0.022,0.21999999999999997
F,LOD,MLP,RF,-15.997216963810644,-26.836132644850366,1.8440092105573516,0.12964824120603016,1.0
F,R2,MLP,SVM,0.1344999020344863,0.033651610799614644,0.4394121513652465,0.0,0.0
F,LOD,MLP,SVM,-25.3294141531822,-47.45435444841849,-5.582946514612121,0.0,0.0
F,R2,PLS,RF,0.09110961912923815,0.013160965097195441,0.25316538269507116,0.007,0.077
F,LOD,PLS,RF,-18.67384618380041,-33.149107504866784,0.9242337582894529,0.09748743718592964,1.0
F,R2,PLS,SVM,0.14680695742634564,0.0428173457424963,0.4966174515040521,0.0,0.0
F,LOD,PLS,SVM,-26.342428724251032,-55.91341219577183,-8.595669262393555,0.0,0.0
F,R2,RF,SVM,0.06161153645368933,-0.044663093596851854,0.2654928823403599,0.209,1.0
F,LOD,RF,SVM,-11.242221727512419,-26.018838918897927,1.1880800698028484,0.1135678391959799,1.0
A,R2,CNN,KAN,-0.024706164921274143,-0.09461083425030037,0.005380335595833635,0.161,1.0
A,LOD,CNN,KAN,7.893300047829173,-2.4620441937328605,21.828922074826806,0.19698492462311556,1.0
A,R2,CNN,MLP,-0.011084789550179663,-0.08272128248924475,0.03292722578324228,0.659,1.0
A,LOD,CNN,MLP,3.9643783300849975,-8.082830251266099,20.10056685750657,0.6793969849246231,1.0
A,R2,CNN,PLS,-0.006627436593941882,-0.07947446508547545,0.0649525033483611,0.824,1.0
A,LOD,CNN,PLS,1.2792260452438722,-12.877603867149443,19.89336758776936,0.8542713567839196,1.0
A,R2,CNN,RF,0.06795238963329353,-0.04488238249196972,0.22236691411678072,0.229,1.0
A,LOD,CNN,RF,-11.405166489902086,-28.1133899147155,13.439086230651089,0.4201005025125628,1.0
A,R2,CNN,SVM,0.10893891148346452,0.0005056567786242641,0.4469653886251053,0.048,0.432
A,LOD,CNN,SVM,-19.454315736233355,-52.112389050869346,3.2796616587230782,0.3075376884422111,1.0
A,R2,KAN,MLP,0.011028905370353559,-0.005052056791465237,0.0513702954216879,0.273,1.0
A,LOD,KAN,MLP,-4.392041112676592,-12.925387386939452,3.676537857012033,0.36180904522613067,1.0
A,R2,KAN,PLS,0.013374022342697744,-0.004886791644065619,0.08908641892936164,0.375,1.0
A,LOD,KAN,PLS,-3.213528370393072,-18.420126860357254,1.7317900763620269,0.20603015075376885,1.0
A,R2,KAN,RF,0.09169463828311758,0.0202810891425275,0.2517742514826179,0.0,0.0
A,LOD,KAN,RF,-20.543605418910445,-34.47579039298845,-2.5638649728651757,0.0,0.0
A,R2,KAN,SVM,0.13483916602708923,0.04011997436920639,0.4796808337679747,0.0,0.0
A,LOD,KAN,SVM,-21.6230525800322,-57.19733141695074,-8.255574739287457,0.0,0.0
A,R2,MLP,PLS,0.0038181951448509888,-0.007996202833735524,0.03910966977659384,0.707,1.0
A,LOD,MLP,PLS,-1.5667578206609019,-5.646459618544144,2.8563070575964313,0.6402010050251257,1.0
A,R2,MLP,RF,0.08353237899076016,0.011868895922514658,0.21100059213584307,0.008,0.08
A,LOD,MLP,RF,-15.80719817270597,-27.378677270822408,0.11849718316922284,0.054271356783919596,0.542713567839196
A,R2,MLP,SVM,0.12710745695021775,0.034459732657913904,0.427359153599254,0.0,0.0
A,LOD,MLP,SVM,-23.204603404236035,-47.27121309663745,-4.7857005053584425,0.0,0.0
A,R2,PLS,RF,0.07767657430299602,0.016838302715027762,0.17849496243645718,0.004,0.044
A,LOD,PLS,RF,-13.678679442036492,-24.822202915192396,-0.6327551561685805,0.003015075376884422,0.033165829145728645
A,R2,PLS,SVM,0.12295337452195704,0.038908526899559016,0.3873854151692176,0.0,0.0
A,LOD,PLS,SVM,-21.730670387770374,-42.763153883530094,-6.964040958793006,0.0,0.0
A,R2,RF,SVM,0.052215114510411775,-0.04928752629036454,0.24959411829039854,0.258,1.0
A,LOD,RF,SVM,-10.260879170755498,-24.787197799984018,4.941601955515963,0.392964824120603,1.0
