model,partition,lot,bias_pp,sd_pp
PLS,42,T1,3.7589444666666667,1.9256520932936174
PLS,42,T2,0.36917298013245053,0.771615114405099
PLS,42,T3,3.218337218543046,1.5986068784051355
PLS,42,T4,1.727137483443708,0.9141513355356565
PLS,42,T5,7.870106754966887,2.0540663178542706
PLS,43,T1,3.2526851999999997,1.9236178607857255
PLS,43,T2,0.2627014569536426,0.652943251355887
PLS,43,T3,1.958790529801324,1.4469081480208235
PLS,43,T4,2.9621435761589403,1.0461160310573234
PLS,43,T5,5.266924966887417,1.830932359809385
PLS,44,T1,4.1931984,2.00167289811307
PLS,44,T2,0.628210132450331,1.0368291488630041
PLS,44,T3,2.1885557615894036,1.5866978302619297
PLS,44,T4,2.1787023178807945,1.0254288067960926
PLS,44,T5,7.300886225165563,1.859185316163952
SVM,42,T1,7.417027933333332,3.9976547208305675
SVM,42,T2,9.874636490066226,4.0600316516998065
SVM,42,T3,11.739126821192054,6.408606919998903
SVM,42,T4,10.173609801324503,4.238744153199068
SVM,42,T5,16.533436754966885,5.867755511084688
SVM,43,T1,10.109907733333333,4.0793844696491846
SVM,43,T2,12.471334569536422,4.2373754611062
SVM,43,T3,6.856838609271524,5.229581191945813
SVM,43,T4,10.234339602649007,3.8672419592660394
SVM,43,T5,15.25528503311258,6.332236824596279
SVM,44,T1,13.027908800000002,3.93520709145855
SVM,44,T2,9.035757086092715,4.234030544888026
SVM,44,T3,8.172843841059601,5.847595935687287
SVM,44,T4,14.254140529801324,5.446748532857474
SVM,44,T5,14.720079536423842,6.320558948026494
RF,42,T1,5.3561878,2.6183023245760526
RF,42,T2,1.5771613245033114,2.2916309416453235
RF,42,T3,4.7735275496688745,3.9172218260804805
RF,42,T4,2.0570668874172187,4.230253860904834
RF,42,T5,3.996722847682119,4.136073243750466
RF,43,T1,8.777241533333333,4.660538655038245
RF,43,T2,3.2788733112582786,2.05194396395929
RF,43,T3,1.6714445033112582,2.2594674715707352
RF,43,T4,3.1341083443708615,5.695676547403469
RF,43,T5,6.089728609271523,2.758183177888431
RF,44,T1,11.366392133333333,2.638200983455484
RF,44,T2,7.8862648344370845,1.865169875808583
RF,44,T3,3.566314569536424,4.158436754696928
RF,44,T4,2.679450794701988,3.7602345263534684
RF,44,T5,4.170727615894039,3.1530347284802116
MLP,42,T1,3.253324228922526,1.254748278382271
MLP,42,T2,3.2531726660317934,1.3127168807022886
MLP,42,T3,0.2622223910906457,0.32054075905077417
MLP,42,T4,4.511949956022351,0.9358258847414761
MLP,42,T5,8.145905147325124,2.339502183224324
MLP,43,T1,4.12015126546224,0.9489269918474438
MLP,43,T2,3.5954199784638865,1.342030998116357
MLP,43,T3,0.4801228504307223,0.4973529131021124
MLP,43,T4,3.1814756582904336,0.6852054712149593
MLP,43,T5,7.699567630590982,2.9427167854387175
MLP,44,T1,5.191742960611979,1.0609548243300841
MLP,44,T2,3.542384520271756,1.206764968615983
MLP,44,T3,0.37270082385334746,0.45382776579134293
MLP,44,T4,1.678719223729822,0.8602690952184605
MLP,44,T5,8.686712302908992,2.8505196248375553
CNN,42,T1,3.748701426188151,1.827231755345178
CNN,42,T2,5.515483729886693,3.3511186456111384
CNN,42,T3,0.42637523120602233,0.5627626940353223
CNN,42,T4,0.5021351189013349,1.1421201672154493
CNN,42,T5,5.890249947048971,5.389113522924745
CNN,43,T1,5.508415679931641,2.924770571290533
CNN,43,T2,6.812708216787174,4.618862201254422
CNN,43,T3,2.2856505438192003,1.3008812345919898
CNN,43,T4,2.255533129963654,1.4228824394548
CNN,43,T5,7.035703595900378,7.567492517622321
CNN,44,T1,6.327920583089193,3.418455953008206
CNN,44,T2,6.692410601685379,3.7967525655224996
CNN,44,T3,1.5295496050095716,1.265177284739695
CNN,44,T4,0.7850864738818036,1.317747486169379
CNN,44,T5,5.880247911870085,6.934977556923001
KAN,42,T1,6.195339101155599,1.7209940994672197
KAN,42,T2,1.104237992242472,0.8858280878112482
KAN,42,T3,0.4622860839035337,0.9748807467152658
KAN,42,T4,7.084082849767824,3.1626129027669454
KAN,42,T5,17.32959555316445,8.632689140530218
KAN,43,T1,6.978642883300782,2.495051344980894
KAN,43,T2,3.181852125963628,1.6754397163880994
KAN,43,T3,0.5370208032873293,0.5533126256993304
KAN,43,T4,1.9309527668731892,0.9238521265945036
KAN,43,T5,5.424165485710498,4.330408782216849
KAN,44,T1,6.763053690592448,4.1266941196039
KAN,44,T2,0.3897560574361031,1.0021273555514627
KAN,44,T3,0.8672073061103063,0.7376496041919436
KAN,44,T4,1.4528448850113824,1.799698776707694
KAN,44,T5,4.436130397367162,3.005537022491951
