metric,model_A,model_B,diff_median,ci_lo,ci_hi,p_boot,p_holm
LOD,PLS,SVM,-14.79916107160826,-18.363849335816013,-10.702174564716792,0.0,0.0
R2,PLS,SVM,0.07337387791549471,0.03842143010980538,0.1288101926631813,0.0,0.0
LOD,PLS,RF,-8.314332870994367,-13.695390421055933,-1.0003524053236803,0.0020100502512562816,0.02412060301507538
R2,PLS,RF,0.06647658220317387,0.03168011477470928,0.12459069759782464,0.0,0.0
LOD,PLS,MLP,-0.9106081954472645,-4.9241788336187575,2.996110198159214,0.5989949748743718,1.0
R2,PLS,MLP,0.006342706067512582,0.00030344850575009247,0.013418850983861752,0.042,0.21000000000000002
LOD,PLS,CNN,-6.659367106921153,-12.68402458747315,0.5989217469423228,0.0763819095477387,0.6874371859296483
R2,PLS,CNN,0.026647685364317997,0.011114819553154432,0.05303172634471518,0.0,0.0
LOD,PLS,KAN,-8.192619186797174,-20.546697891914658,1.7743650846385324,0.07839195979899498,0.6874371859296483
R2,PLS,KAN,0.028176564347448863,0.011997346238964451,0.05667545877993387,0.0,0.0
LOD,SVM,RF,6.797659195063711,-0.25053186657867627,14.294276647730198,0.05829145728643216,0.6412060301507537
R2,SVM,RF,-0.00845890072333938,-0.0772329515718289,0.06794702283472354,0.823,1.0
LOD,SVM,MLP,13.551205813322747,12.025097495171478,18.420602751343687,0.0,0.0
R2,SVM,MLP,-0.0670195706657688,-0.11819806358411421,-0.033200524393078565,0.0,0.0
LOD,SVM,CNN,7.464746597615782,3.07622547844462,18.696836972662425,0.0,0.0
R2,SVM,CNN,-0.046788713308131,-0.09872686268790284,-0.0012617051855182335,0.046,0.21000000000000002
LOD,SVM,KAN,5.923043626959039,-3.992570233079542,18.650967354331303,0.27035175879396983,1.0
R2,SVM,KAN,-0.04428057189688389,-0.08734109861341781,-0.008298197773380747,0.021,0.126
LOD,RF,MLP,7.695642109691848,-1.2345652203015542,14.346365229852424,0.11055276381909548,0.6874371859296483
R2,RF,MLP,-0.06013824614924895,-0.11984354480283313,-0.021330507886765483,0.0,0.0
LOD,RF,CNN,1.2212150007571854,-9.15336581108715,11.3634817739779,0.8472361809045226,1.0
R2,RF,CNN,-0.03980987117577356,-0.082520543609519,-0.006247377094592863,0.016,0.112
LOD,RF,KAN,1.176422860643557,-17.389783525638073,9.309183089311423,0.9829145728643216,1.0
R2,RF,KAN,-0.03947707448755272,-0.09335683233384423,0.015585782615018156,0.161,0.483
LOD,MLP,CNN,-5.922069342738059,-10.567893596623197,1.0298677196608246,0.0914572864321608,0.6874371859296483
R2,MLP,CNN,0.019973724961901584,0.006195932138088675,0.04555909357844409,0.0,0.0
LOD,MLP,KAN,-7.624247920212724,-18.526079130188734,1.0693651354211091,0.05829145728643216,0.6412060301507537
R2,MLP,KAN,0.02277514515627871,0.007253928611551441,0.04495080491982737,0.0,0.0
LOD,CNN,KAN,-3.4788785284657546,-8.223407042150273,8.34127832739705,0.46834170854271356,1.0
R2,CNN,KAN,0.002265541122346393,-0.025254735105515284,0.028006255266884453,0.877,1.0
