model,partition,adulterant,level_pct,identification_acc,pred_mean,abs_err
PLS,42,peanut,4,1.0,7.301690625000001,3.301690625000001
PLS,42,peanut,8,0.9375,12.53640125,4.536401250000002
PLS,42,peanut,12,1.0,15.327159374999997,3.327159374999998
PLS,42,peanut,16,1.0,17.069018125,1.3610118750000009
PLS,42,peanut,20,1.0,21.270452499999998,1.4250799999999995
PLS,42,peanut,24,1.0,24.76971875,1.1093387499999992
PLS,42,peanut,28,1.0,28.558474375,1.004644374999998
PLS,42,peanut,32,1.0,30.17582125,1.8748475000000004
PLS,42,peanut,36,1.0,34.215621875,1.835288124999999
PLS,42,peanut,40,1.0,38.8580625,1.7931937499999995
PLS,42,peanut,44,1.0,41.804668125,2.195331875000001
PLS,42,peanut,48,1.0,47.535003125,1.2849618749999996
PLS,42,peanut,52,1.0,49.334295,2.8730174999999996
PLS,42,peanut,56,1.0,52.6164975,3.3835025
PLS,42,peanut,60,1.0,58.631543750000006,1.5546249999999993
PLS,42,peanut,64,1.0,62.293442352941184,2.058770588235294
PLS,42,peanut,68,1.0,65.68171187499999,2.4379606249999988
PLS,42,peanut,72,1.0,69.93592,2.140539999999997
PLS,42,peanut,76,1.0,74.80914,1.57086125
PLS,42,peanut,80,1.0,80.393240625,2.046976875000002
PLS,42,peanut,84,1.0,85.296310625,1.6519068749999999
PLS,42,peanut,88,1.0,90.46458625,2.5604699999999987
PLS,42,peanut,92,1.0,93.74378437499999,1.7728281249999984
PLS,42,peanut,96,1.0,97.122371875,1.9152856249999992
PLS,42,peanut,100,1.0,100.0,0.0
PLS,42,sunflower,4,1.0,4.839248749999999,1.9318937499999986
PLS,42,sunflower,8,1.0,10.393443124999997,2.4453943749999976
PLS,42,sunflower,12,1.0,18.84016,6.84016
PLS,42,sunflower,16,1.0,17.95960125,2.360249999999999
PLS,42,sunflower,20,1.0,23.367624375,3.3676243749999992
PLS,42,sunflower,24,1.0,25.948293125,2.469555624999999
PLS,42,sunflower,28,1.0,27.26938375,1.4828512499999995
PLS,42,sunflower,32,1.0,30.646527499999998,1.8795800000000007
PLS,42,sunflower,36,1.0,32.469705625,3.5302943750000004
PLS,42,sunflower,40,1.0,40.11894294117648,1.562402941176471
PLS,42,sunflower,44,1.0,41.169445,2.86878375
PLS,42,sunflower,48,1.0,45.620600625,2.5496693749999992
PLS,42,sunflower,52,1.0,48.68393375,3.3160662499999995
PLS,42,sunflower,56,1.0,54.17571625000001,2.0508262499999996
PLS,42,sunflower,60,1.0,60.16600625,1.0798100000000006
PLS,42,sunflower,64,1.0,61.375554375,2.6917381250000005
PLS,42,sunflower,68,1.0,65.88833374999999,2.3586225
PLS,42,sunflower,72,1.0,70.61318125,2.354817500000002
PLS,42,sunflower,76,1.0,75.975655,1.2402012499999975
PLS,42,sunflower,80,1.0,80.249425,1.3179835714285733
PLS,42,sunflower,84,1.0,80.951491875,3.2455293750000003
PLS,42,sunflower,88,1.0,88.82820562500001,3.1716743749999994
PLS,42,sunflower,92,1.0,91.551836875,1.1762931249999982
PLS,42,sunflower,96,1.0,98.62131375,2.7904800000000014
PLS,42,sunflower,100,1.0,99.61045529411764,0.38954470588235196
PLS,43,peanut,4,1.0,7.988125625,3.9881256250000003
PLS,43,peanut,8,1.0,10.895838125,2.9291231249999985
PLS,43,peanut,12,1.0,15.080603125,3.0806031250000006
PLS,43,peanut,16,1.0,17.469041249999997,1.519219999999998
PLS,43,peanut,20,1.0,21.3417375,1.5009587500000015
PLS,43,peanut,24,1.0,24.635185625,0.9395293750000011
PLS,43,peanut,28,1.0,28.332563125,0.9393406249999998
PLS,43,peanut,32,1.0,31.113519375,1.2798256250000009
PLS,43,peanut,36,1.0,34.391471249999995,1.8486012499999989
PLS,43,peanut,40,1.0,39.115044375,1.5623918749999994
PLS,43,peanut,44,1.0,42.038245,1.9617549999999997
PLS,43,peanut,48,1.0,48.086478125,1.4125968749999998
PLS,43,peanut,52,1.0,48.429678124999995,3.5703218750000008
PLS,43,peanut,56,1.0,53.557299375,2.442700625
PLS,43,peanut,60,1.0,59.310793749999995,0.9988725
PLS,43,peanut,64,1.0,63.56038882352941,1.3978323529411758
PLS,43,peanut,68,1.0,66.19892,2.3583425
PLS,43,peanut,72,1.0,70.80355875000001,1.726058749999999
PLS,43,peanut,76,1.0,74.95396875,1.7591449999999993
PLS,43,peanut,80,1.0,80.559590625,1.9342131250000003
PLS,43,peanut,84,1.0,85.664375,2.0604612500000012
PLS,43,peanut,88,1.0,90.937491875,3.008050625
PLS,43,peanut,92,1.0,93.5989825,1.8921400000000013
PLS,43,peanut,96,1.0,97.31769374999999,2.0873599999999985
PLS,43,peanut,100,1.0,100.0,0.0
PLS,43,sunflower,4,0.9375,5.304024999999999,1.8287887499999993
PLS,43,sunflower,8,1.0,10.804301875,2.804301875
PLS,43,sunflower,12,1.0,17.503946,5.503946
PLS,43,sunflower,16,1.0,16.742310625000002,1.8875181250000006
PLS,43,sunflower,20,1.0,22.181175625,2.2994393750000013
PLS,43,sunflower,24,1.0,23.974819375000003,1.5381581250000007
PLS,43,sunflower,28,1.0,28.07051625,1.2850312500000003
PLS,43,sunflower,32,1.0,31.35117125,1.530838750000001
PLS,43,sunflower,36,1.0,34.943960000000004,1.9198474999999995
PLS,43,sunflower,40,1.0,40.05366529411765,1.2886135294117647
PLS,43,sunflower,44,1.0,41.50192125,2.50963375
PLS,43,sunflower,48,1.0,47.2096375,1.765295
PLS,43,sunflower,52,1.0,49.175339375,2.8475393749999998
PLS,43,sunflower,56,1.0,54.37332125,1.7854074999999998
PLS,43,sunflower,60,1.0,60.701873750000004,1.1844075000000003
PLS,43,sunflower,64,1.0,61.390113125,3.096098125
PLS,43,sunflower,68,1.0,66.06801812500001,2.128158124999999
PLS,43,sunflower,72,1.0,70.2484125,2.260894999999998
PLS,43,sunflower,76,1.0,75.52340437500001,1.4613218749999994
PLS,43,sunflower,80,1.0,80.70305642857144,1.4540621428571419
PLS,43,sunflower,84,1.0,81.29467,2.904008750000001
PLS,43,sunflower,88,1.0,88.735866875,3.0107131250000005
PLS,43,sunflower,92,1.0,91.9507725,1.231151249999999
PLS,43,sunflower,96,1.0,98.5858475,2.771333750000001
PLS,43,sunflower,100,1.0,99.6677405882353,0.3322594117647058
PLS,44,peanut,4,1.0,6.698626875,2.6986268750000004
PLS,44,peanut,8,1.0,11.357223125,3.357223125000001
PLS,44,peanut,12,1.0,13.945069375000001,1.9676568750000012
PLS,44,peanut,16,1.0,16.16657375,0.949526249999999
PLS,44,peanut,20,1.0,21.900255,2.0174199999999995
PLS,44,peanut,24,1.0,25.386933125,1.520958124999999
PLS,44,peanut,28,1.0,28.37964875,0.8534149999999991
PLS,44,peanut,32,1.0,30.443106874999998,1.5568931249999993
PLS,44,peanut,36,1.0,33.7928675,2.2071325
PLS,44,peanut,40,1.0,39.755324375,1.638908125
PLS,44,peanut,44,1.0,41.862441875,2.1375581250000013
PLS,44,peanut,48,1.0,48.418524999999995,1.1821437500000007
PLS,44,peanut,52,1.0,48.915516875,3.232851875
PLS,44,peanut,56,1.0,53.3349975,2.6650025
PLS,44,peanut,60,1.0,58.984628125,1.5674081250000005
PLS,44,peanut,64,1.0,62.09266647058823,2.120025294117647
PLS,44,peanut,68,1.0,66.923418125,1.451226874999998
PLS,44,peanut,72,1.0,70.3305125,2.192646250000002
PLS,44,peanut,76,1.0,75.215759375,1.552476875
PLS,44,peanut,80,1.0,81.0742975,2.4663737500000007
PLS,44,peanut,84,1.0,84.81170374999999,1.5135712499999991
PLS,44,peanut,88,1.0,91.1741425,3.1741424999999994
PLS,44,peanut,92,1.0,93.538205,1.658192500000001
PLS,44,peanut,96,1.0,97.33862687499999,2.3508768750000018
PLS,44,peanut,100,1.0,100.0,0.0
PLS,44,sunflower,4,0.9375,7.952801874999999,4.058614374999999
PLS,44,sunflower,8,1.0,10.471720000000001,2.4816350000000016
PLS,44,sunflower,12,1.0,17.455396666666662,5.455396666666666
PLS,44,sunflower,16,1.0,17.775716250000002,2.3298375
PLS,44,sunflower,20,1.0,21.985788125,2.078203125
PLS,44,sunflower,24,1.0,23.83170625,1.6606212499999984
PLS,44,sunflower,28,1.0,28.24530875,1.0673612499999985
PLS,44,sunflower,32,1.0,31.169855,1.5744937500000011
PLS,44,sunflower,36,1.0,34.07879625,2.2800424999999986
PLS,44,sunflower,40,1.0,40.02982000000001,1.435205882352941
PLS,44,sunflower,44,1.0,40.900795625,3.099204375
PLS,44,sunflower,48,1.0,47.30304125,1.523656250000001
PLS,44,sunflower,52,1.0,48.988781875,3.0112181249999996
