model,metric,median,ci_lo,ci_hi,valid_draws
PLS,LOD,7.810475522050236,3.775482995403416,11.930123012366305,1990
PLS,R2,0.9899160672745504,0.9772817461833364,0.9952986316681727,2000
SVM,LOD,22.572689912462906,17.7194557073356,27.916621120248397,1990
SVM,R2,0.9161895463508527,0.8510107966524596,0.9545340391159314,2000
RF,LOD,15.668525151188046,12.4964138731426,19.61540876717045,1990
RF,R2,0.9226194290802114,0.8645920075463612,0.9556668141142212,2000
MLP,LOD,7.929627260977998,4.581749605091044,14.843330674798542,1990
MLP,R2,0.9842479402028721,0.9649177258611448,0.9915822909351587,2000
CNN,LOD,14.209782069799001,4.636344569375772,22.46873202495351,1990
CNN,R2,0.9621255944442484,0.9321712203454631,0.9817792860503631,2000
KAN,LOD,15.367149842013104,4.055922882978653,30.554152288590473,1990
KAN,R2,0.9620080578576535,0.9210114007303071,0.9816568199908903,2000
