channel_cm-1,anova_F_lots,p,F_pct_rank_all_channels,lot_mean_range_snv,replicate_sd_snv
3022,59.74,8.457521029943884e-44,16.2,0.01078,0.00621
3005,120.67,1.875100342420258e-79,41.9,0.02028,0.00941
2962,18.61,1.3530314022922722e-14,2.3,0.01211,0.01385
1502,110.28,6.790593281516523e-74,35.9,0.05979,0.02586
1490,120.33,2.810861435839117e-79,41.5,0.03339,0.01555
1487,132.6,1.3025955624466202e-85,50.5,0.02838,0.01265
1472,149.52,5.747537290416183e-94,66.2,0.01736,0.00651
1447,291.16,6.240275320445991e-151,93.7,0.02649,0.00835
1302,136.96,8.263242998215899e-88,53.9,0.01278,0.00564
1286,312.96,3.6342879207636744e-158,94.7,0.01716,0.00444
1242,1083.81,1.042312056272543e-309,99.0,0.03105,0.00416
1235,1045.54,9.718324443849848e-305,98.7,0.0298,0.0041
1227,1128.85,2.2691414e-315,99.0,0.02778,0.00389
1196,514.53,3.639985361216449e-213,96.4,0.0393,0.00901
1180,127.02,9.230747295955084e-83,45.8,0.03779,0.01791
1140,101.77,3.3933153689863847e-69,32.3,0.02793,0.01237
989,52.51,5.220211256754932e-39,13.7,0.02887,0.02097
974,33.49,9.944569649500565e-26,7.3,0.0133,0.01289
