channel_cm-1,series,authentic_lot_range_snv,authentic_lot_sd_snv,slope_snv_per_pct,lot_range_in_adulterant_pct,3.3xlot_sd_in_adulterant_pct
3022,peanut,0.0108,0.0039,-0.0006,18.7021,22.4605
3022,sunflower,0.0108,0.0039,-0.0001,108.5544,130.3691
3005,peanut,0.0203,0.0085,-0.0007,27.5848,38.2218
3005,sunflower,0.0203,0.0085,0.0001,220.868,306.0372
2962,peanut,0.0121,0.0049,-0.0006,20.0254,26.8462
2962,sunflower,0.0121,0.0049,-0.0004,27.4343,36.7787
1502,peanut,0.0598,0.0222,-0.0008,72.8688,89.4688
1502,sunflower,0.0598,0.0222,-0.0007,89.0193,109.2985
1490,peanut,0.0334,0.014,-0.0009,36.5822,50.4686
1490,sunflower,0.0334,0.014,-0.0009,36.2553,50.0177
1487,peanut,0.0284,0.0119,-0.0009,30.0438,41.6687
1487,sunflower,0.0284,0.0119,-0.001,28.873,40.045
1472,peanut,0.0174,0.0065,0.0004,48.3723,60.0674
1472,sunflower,0.0174,0.0065,-0.0006,31.3966,38.9874
1447,peanut,0.0265,0.0117,-0.0006,44.8288,65.3206
1447,sunflower,0.0265,0.0117,-0.0006,42.4024,61.7852
1302,peanut,0.0128,0.0054,0.0001,145.6061,203.4943
1302,sunflower,0.0128,0.0054,0.0001,202.0227,282.3403
1286,peanut,0.0172,0.0064,-0.0001,197.8805,245.0498
1286,sunflower,0.0172,0.0064,0.0003,62.3405,77.2008
1242,peanut,0.0311,0.0113,-0.0011,29.3473,35.0877
1242,sunflower,0.0311,0.0113,-0.0009,35.6809,42.6603
1235,peanut,0.0298,0.0109,-0.0009,34.3312,41.3006
1235,sunflower,0.0298,0.0109,-0.0007,43.9788,52.9067
1227,peanut,0.0278,0.0107,-0.0006,47.9773,61.0102
1227,sunflower,0.0278,0.0107,-0.0004,72.9469,92.7626
1196,peanut,0.0393,0.0167,-0.0004,95.6597,134.4956
1196,sunflower,0.0393,0.0167,-0.0005,71.9782,101.1999
1180,peanut,0.0378,0.0166,-0.0007,56.232,81.451
1180,sunflower,0.0378,0.0166,-0.0008,44.6291,64.6444
1140,peanut,0.0279,0.0102,-0.0006,43.1939,52.1357
1140,sunflower,0.0279,0.0102,-0.0,1165.1212,1406.3216
989,peanut,0.0289,0.0126,0.0004,70.425,101.2378
989,sunflower,0.0289,0.0126,0.0025,11.6941,16.8106
974,peanut,0.0133,0.0061,-0.0003,40.7787,62.1738
974,sunflower,0.0133,0.0061,0.0014,9.7761,14.9053
