channel_cm-1,series,n_samples,spearman_rho,perm_p,abs_rho_pct_rank_all_channels
3022,peanut,30,-0.945,0.0005,91.2
3005,peanut,30,-0.942,0.0005,90.5
2962,peanut,30,-0.898,0.0005,77.2
1502,peanut,30,-0.777,0.0005,44.4
1490,peanut,30,-0.897,0.0005,76.9
1487,peanut,30,-0.934,0.0005,88.1
1472,peanut,30,0.814,0.0005,52.4
1447,peanut,30,-0.923,0.0005,84.8
1302,peanut,30,0.515,0.0035,20.9
1286,peanut,30,-0.525,0.0025,21.5
1242,peanut,30,-0.984,0.0005,98.2
1235,peanut,30,-0.981,0.0005,96.8
1227,peanut,30,-0.973,0.0005,95.1
1196,peanut,30,-0.88,0.0005,72.5
1180,peanut,30,-0.914,0.0005,81.0
1140,peanut,30,-0.953,0.0005,92.3
989,peanut,30,0.57,0.002,23.5
974,peanut,30,-0.723,0.0005,33.9
3022,sunflower,30,-0.394,0.032,29.2
3005,sunflower,30,0.303,0.1094,20.7
2962,sunflower,30,-0.823,0.0005,77.4
1502,sunflower,30,-0.809,0.0005,76.7
1490,sunflower,30,-0.922,0.0005,84.7
1487,sunflower,30,-0.949,0.0005,91.4
1472,sunflower,30,-0.925,0.0005,85.2
1447,sunflower,30,-0.938,0.0005,87.9
1302,sunflower,30,0.375,0.032,27.2
1286,sunflower,30,0.836,0.0005,77.8
1242,sunflower,30,-0.986,0.0005,99.7
1235,sunflower,30,-0.984,0.0005,99.4
1227,sunflower,30,-0.955,0.0005,93.4
1196,sunflower,30,-0.951,0.0005,92.3
1180,sunflower,30,-0.97,0.0005,97.0
1140,sunflower,30,-0.08,0.6672,6.1
989,sunflower,30,0.984,0.0005,99.4
974,sunflower,30,0.982,0.0005,98.9
