channel_cm-1,series,pooled_slope_per_pct,lots_agreeing_in_sign,per_lot_slopes
3022,peanut,-0.0005762818430174912,5/5,"[-0.000505, -0.000639, -0.000557, -0.00054, -0.000534]"
3022,sunflower,-9.92839043572167e-05,4/5,"[5.26e-05, -0.000166, -6.87e-05, -6.03e-05, -0.000119]"
3005,peanut,-0.0007352121248258004,5/5,"[-0.000709, -0.000855, -0.000651, -0.000632, -0.0007]"
3005,sunflower,9.182266324120672e-05,4/5,"[0.000207, -2.55e-05, 0.000169, 0.000199, 5.95e-05]"
2962,peanut,-0.0006046939249223658,5/5,"[-0.000538, -0.000722, -0.000488, -0.000566, -0.000578]"
2962,sunflower,-0.0004413896789848664,5/5,"[-0.000183, -0.000549, -0.000361, -0.000407, -0.000529]"
1502,peanut,-0.0008205392546560316,5/5,"[-0.000807, -0.000682, -0.00115, -0.00103, -0.000679]"
1502,sunflower,-0.0006716716313479388,5/5,"[-0.00105, -0.000546, -0.00108, -0.000786, -0.000204]"
1490,peanut,-0.0009126256091983976,5/5,"[-0.00087, -0.000838, -0.00107, -0.0011, -0.000842]"
1490,sunflower,-0.0009208536634611484,5/5,"[-0.00111, -0.000882, -0.00113, -0.00107, -0.000623]"
1487,peanut,-0.00094473208036252,5/5,"[-0.000878, -0.000878, -0.00106, -0.00112, -0.000894]"
1487,sunflower,-0.0009830384895625568,5/5,"[-0.00111, -0.000961, -0.00114, -0.00112, -0.000746]"
1472,peanut,0.00035888241412883055,5/5,"[0.000279, 0.000311, 0.000384, 0.000266, 0.000425]"
1472,sunflower,-0.0005529254418219381,5/5,"[-0.000681, -0.00062, -0.000629, -0.00059, -0.000391]"
1447,peanut,-0.0005909934136289456,5/5,"[-0.000538, -0.000619, -0.000689, -0.000721, -0.00046]"
1447,sunflower,-0.0006248108386754245,5/5,"[-0.000667, -0.000682, -0.000809, -0.000694, -0.000364]"
1302,peanut,8.777087931457655e-05,5/5,"[0.00019, 0.000135, 1.19e-05, 8.2e-06, 0.000108]"
1302,sunflower,6.32600917453469e-05,3/5,"[8.95e-05, 0.000102, -1.32e-05, -1.14e-05, 0.000146]"
1286,peanut,-8.67354316818753e-05,4/5,"[9.19e-06, -5.66e-05, -0.000135, -0.000174, -9.66e-05]"
1286,sunflower,0.00027531471105918015,5/5,"[0.00031, 0.00029, 0.000202, 0.000201, 0.00033]"
1242,peanut,-0.0010581569554605954,5/5,"[-0.000944, -0.00102, -0.00107, -0.00125, -0.00106]"
1242,sunflower,-0.0008703256999491857,5/5,"[-0.000746, -0.000827, -0.000934, -0.00106, -0.000831]"
1235,peanut,-0.000868087103809068,5/5,"[-0.000762, -0.000819, -0.000879, -0.00102, -0.000898]"
1235,sunflower,-0.0006776552261364017,5/5,"[-0.000529, -0.000655, -0.000723, -0.000847, -0.000671]"
1227,peanut,-0.000578940992732758,5/5,"[-0.000453, -0.000565, -0.000577, -0.000699, -0.00065]"
1227,sunflower,-0.0003807705822426359,5/5,"[-0.000239, -0.000363, -0.000424, -0.000527, -0.000398]"
1196,peanut,-0.0004108173433623127,5/5,"[-0.000226, -0.000547, -0.000274, -0.000483, -0.00052]"
1196,sunflower,-0.0005459801620708521,5/5,"[-0.000251, -0.000699, -0.000439, -0.000656, -0.000678]"
1180,peanut,-0.0006719893138351422,5/5,"[-0.000613, -0.00092, -0.000369, -0.000692, -0.000733]"
1180,sunflower,-0.0008466966975528641,5/5,"[-0.000514, -0.00109, -0.000662, -0.000904, -0.000994]"
1140,peanut,-0.0006467228412101594,5/5,"[-0.000679, -0.000726, -0.000459, -0.000604, -0.000772]"
1140,sunflower,-2.3975582036022958e-05,3/5,"[4.29e-05, -4e-05, 8.22e-05, -4.19e-05, -0.000144]"
989,peanut,0.0004098889365539756,5/5,"[0.00045, 0.000849, 0.000104, 0.000427, 0.000317]"
989,sunflower,0.002468459120740323,5/5,"[0.00216, 0.00278, 0.00255, 0.00243, 0.00245]"
974,peanut,-0.00032622153431197836,5/5,"[-0.000268, -0.000115, -0.000439, -0.000301, -0.000439]"
974,sunflower,0.0013607528756190415,5/5,"[0.00125, 0.00151, 0.00148, 0.00132, 0.00127]"
