model,term,df,partial_eta2,F,p_naive,p_clustered,note
PLS,C(type),1.0,0.0623156958138349,96.09683743721425,5.212377561224735e-22,0.11561943781694668,
PLS,C(cultivar),3.0,0.19991646786645548,120.270516766899,1.5749973943198156e-69,1.2590991685080598e-06,
PLS,C(temp),0.0,,,,,single level in test set
PLS,C(region),1.0,0.03196787366528965,47.75207770741456,7.228984443088404e-12,0.29462060619790287,
SVM,C(type),1.0,0.0625966803354185,96.55907747094692,4.187688261836023e-22,0.05842276297056993,
SVM,C(cultivar),3.0,0.04746657522381871,23.985767092389995,3.7806929123461265e-15,0.3420469644711654,
SVM,C(temp),0.0,,,,,single level in test set
SVM,C(region),1.0,0.07467454463962443,116.69341951350887,3.254503068452292e-26,0.03854170975927637,
RF,C(type),1.0,0.04495148873536172,68.0592157829373,3.5289202661225196e-16,0.18055872733147124,
RF,C(cultivar),3.0,0.13573153162314838,75.59238008220571,2.0442228208264516e-45,0.2063195126589167,
RF,C(temp),0.0,,,,,single level in test set
RF,C(region),1.0,0.04002179848571776,60.284202827794,1.544136393784609e-14,0.22182435896539004,
MLP,C(type),1.0,0.09645767714021741,154.3677563473686,9.49757102399e-34,0.034255968726781515,
MLP,C(cultivar),3.0,0.10554335017520665,56.79596944239893,1.051962989050271e-34,0.09861902080884727,
MLP,C(temp),0.0,,,,,single level in test set
MLP,C(region),1.0,0.061929655025460405,95.46222375172329,7.040451748335828e-22,0.10741907374493836,
CNN,C(type),1.0,0.0031124711104783716,4.514685052550698,0.033774287573849024,0.7362220906091019,
CNN,C(cultivar),3.0,0.10337096093625868,55.49216791960496,6.000290418397905e-34,0.11013210377490866,
CNN,C(temp),0.0,,,,,single level in test set
CNN,C(region),1.0,0.0368794762238274,55.3697292324005,1.706009823768461e-13,0.20335459193535924,
KAN,C(type),1.0,0.02395037030106018,35.48204353708453,3.2273425144093602e-09,0.2825269057917945,
KAN,C(cultivar),3.0,0.10266757823775427,55.07137205784871,1.0533995106468179e-33,0.010245109412919739,
KAN,C(temp),0.0,,,,,single level in test set
KAN,C(region),1.0,0.047423172046398974,71.9877964346547,5.280388054859754e-17,0.14410434557539015,
