model,covariate,level,n_spectra,n_populations,bias,rmse,reference_DM_mean
PLS,type,Hard Green,560,7,0.19720265191825814,0.9459231161669699,16.070200706882147
PLS,type,Ripen,888,11,-0.33675893747209423,1.1103428450212112,17.611357255495495
PLS,cultivar,Caly,463,6,0.5222133392066599,0.8109980403061173,16.016169735904967
PLS,cultivar,HG,239,3,-0.7133247838830623,1.463184984354602,18.44645203334728
PLS,cultivar,KP,318,4,-0.32650402815981766,1.243173805306009,19.679509801698117
PLS,cultivar,R2E2,428,5,-0.3646736522215065,0.8205713376311137,15.317581537616823
PLS,temp,No,1448,18,-0.13025445538742755,1.0498132820994281,17.015329861004144
PLS,region,NT,702,9,-0.3222543366350046,1.0224581457215114,17.762699835413105
PLS,region,QLD,746,9,0.05042103608147199,1.0749193969060702,16.312040689375337
SVM,type,Hard Green,560,7,0.11542190957117374,0.9731304469102587,16.070200706882147
SVM,type,Ripen,888,11,-0.4153618637133818,1.1024479324916021,17.611357255495495
SVM,cultivar,Caly,463,6,0.07413330646229523,0.7220072232141747,16.016169735904967
SVM,cultivar,HG,239,3,-0.31456878590018655,1.2656590648830308,18.44645203334728
SVM,cultivar,KP,318,4,-0.5338098036876285,1.4573559757327383,19.679509801698117
SVM,cultivar,R2E2,428,5,-0.21868067548331305,0.8510169874546594,15.317581537616823
SVM,temp,No,1448,18,-0.2100863712828907,1.0543182734603036,17.015329861004144
SVM,region,NT,702,9,-0.5011319927926143,1.1487156741830509,17.762699835413105
SVM,region,QLD,746,9,0.06379302053993235,0.9570225288188484,16.312040689375337
RF,type,Hard Green,560,7,0.08202352900711236,1.1275717600894193,16.070200706882147
RF,type,Ripen,888,11,-0.436376398208062,1.265319208325413,17.611357255495495
RF,cultivar,Caly,463,6,0.13649285145243234,0.8030210347241614,16.016169735904967
RF,cultivar,HG,239,3,-0.9347531861500386,1.6069000427269342,18.44645203334728
RF,cultivar,KP,318,4,-0.6629577906764641,1.681390492126198,19.679509801698117
RF,cultivar,R2E2,428,5,0.06883489097598713,0.8633380265174444,15.317581537616823
RF,temp,No,1448,18,-0.2358902385115857,1.2139017380724122,17.015329861004144
RF,region,NT,702,9,-0.48145948902946384,1.2312830698252284,17.762699835413105
RF,region,QLD,746,9,-0.004804965236048936,1.1973151620549403,16.312040689375337
MLP,type,Hard Green,560,7,0.2398188492315089,0.9352494471272232,16.070200706882147
MLP,type,Ripen,888,11,-0.3650255207952496,0.9711945480606919,17.611357255495495
MLP,cultivar,Caly,463,6,0.2765815207370548,0.7442864842505884,16.016169735904967
MLP,cultivar,HG,239,3,-0.5364990955387848,1.2436665823166475,18.44645203334728
MLP,cultivar,KP,318,4,-0.3880707962842181,1.26993285967437,19.679509801698117
MLP,cultivar,R2E2,428,5,-0.1548400793122479,0.6634837549496109,15.317581537616823
MLP,temp,No,1448,18,-0.13110780863020483,0.9574531691010468,17.015329861004144
MLP,region,NT,702,9,-0.37441635582580046,0.9546900740501781,17.762699835413105
MLP,region,QLD,746,9,0.0978501003929964,0.9600460307338804,16.312040689375337
CNN,type,Hard Green,560,7,-0.2871369784133841,1.1339915483625187,16.070200706882147
CNN,type,Ripen,888,11,-0.39924215243543465,0.9783461166598773,17.611357255495495
CNN,cultivar,Caly,463,6,-0.07540966925668609,0.7351495063724576,16.016169735904967
CNN,cultivar,HG,239,3,-0.5390176336906096,1.2878262081905474,18.44645203334728
CNN,cultivar,KP,318,4,-0.8719363992453445,1.4522753459192435,19.679509801698117
CNN,cultivar,R2E2,428,5,-0.17361699298186978,0.7685132004202996,15.317581537616823
CNN,temp,No,1448,18,-0.3558865602722108,1.0413030059470987,17.015329861004144
CNN,region,NT,702,9,-0.5496171306245062,1.1625013452576487,17.762699835413105
CNN,region,QLD,746,9,-0.17358245787635096,0.9126709474587082,16.312040689375337
KAN,type,Hard Green,560,7,0.0947176034195016,0.8697873593745334,16.070200706882147
KAN,type,Ripen,888,11,-0.21779886928564673,1.0560818987958513,17.611357255495495
KAN,cultivar,Caly,463,6,0.32742332184694556,0.7361398448205307,16.016169735904967
KAN,cultivar,HG,239,3,-0.36397839019200284,1.1078937200928918,18.44645203334728
KAN,cultivar,KP,318,4,-0.4636206357118542,1.393296201489828,19.679509801698117
KAN,cultivar,R2E2,428,5,-0.1344353705925488,0.7680385172420844,15.317581537616823
KAN,temp,No,1448,18,-0.09693614503503688,0.9882078202594572,17.015329861004144
KAN,region,NT,702,9,-0.31770860139179635,1.0645012333036203,17.762699835413105
KAN,region,QLD,746,9,0.11081487957950083,0.9105951130512187,16.312040689375337
