model,n_samples,mean,std,min,count
CNN,10,0.8879569108383463,0.023216744816970822,0.8544500979251474,5
CNN,15,0.9328891669818166,0.009511468642519852,0.9219923395745353,5
CNN,20,0.9513465367620979,0.007201828987329149,0.9446504947005713,5
CNN,25,0.9575829592992076,0.006654729656305123,0.9470034726851088,5
CNN,30,0.9645138363212737,0.0023645344926868928,0.961453974709562,5
CNN,38,0.9685183977445047,0.0026441271026876943,0.9646059582694624,5
KAN,10,0.8132730259884967,0.23234182693545113,0.3986190853821917,5
KAN,15,0.8488524633270229,0.15282684774996638,0.5899231480635965,5
KAN,20,0.927510698847254,0.050328414477077685,0.8502588718626438,5
KAN,25,0.9433336189842846,0.025968344401373702,0.9185125171358206,5
KAN,30,0.9643900164923369,0.024766673021078357,0.9209507703728186,5
KAN,38,0.9817084179642913,0.010058841645522738,0.9657833372072102,5
MLP,10,0.9167223410839295,0.0417943435987393,0.8606573658872448,5
MLP,15,0.9720604976395247,0.011510856783925775,0.957528443415202,5
MLP,20,0.9753550806819149,0.00920540633744456,0.9606230135248569,5
MLP,25,0.9838816184471121,0.0019309807461944154,0.9819263759687801,5
MLP,30,0.9849148916121313,0.002537837281496945,0.9821756993602317,5
MLP,38,0.9873399057117302,0.0014365191421009177,0.9854059033549815,5
PLS,10,0.9901446732785237,0.004366246272786507,0.9832996908124723,5
PLS,15,0.98891606825883,0.004348458410779455,0.9827789216387708,5
PLS,20,0.9921770182654812,0.0023446310655222792,0.9896036845193106,5
PLS,25,0.9940172271400097,0.0009486777358639922,0.9924789759548692,5
PLS,30,0.9941070294972189,0.0009966841259087874,0.9926514349580905,5
PLS,38,0.9943223164955398,0.0,0.9943223164955398,5
RF,10,0.7725716670699075,0.038614816472884166,0.715985556594892,5
RF,15,0.8345678218965388,0.045337130971169315,0.7694025938776773,5
RF,20,0.8861484914864401,0.034872887164132456,0.8360137467672553,5
RF,25,0.8889471889417585,0.031309111083145685,0.846639646255626,5
RF,30,0.8935740379865864,0.03338627058988235,0.8489322538346606,5
RF,38,0.9227120464929367,0.0022069549249945806,0.9190310949666189,5
SVM,10,0.500394560409277,0.10344813227839379,0.34621405177426956,5
SVM,15,0.7930197143068,0.05573720741829297,0.7078975645290291,5
SVM,20,0.8148412550423949,0.0612315090316266,0.7483806118078022,5
SVM,25,0.8660727270549085,0.04937111465936374,0.7927340551023819,5
SVM,30,0.8611645902703003,0.045080922777885814,0.7953140859029696,5
SVM,38,0.9245552300167219,0.0,0.9245552300167219,5
