model,rep,input_dim,r2_mean,r2_sd,rmsep,n
KAN,full,103,0.8319368925246694,0.010917551262129286,1.093619355421033,3
KAN,kpca,24,0.7187270289264552,0.032762011954924376,1.4136913390487704,3
KAN,pca,24,0.85313598446902,0.02422454200612058,1.020295283478827,3
KAN,pls,24,0.8608680350479817,0.013103763555056231,0.9946661203365791,3
MLP,full,103,0.8662711238300697,0.007269763207555673,0.9756342907058357,3
MLP,kpca,16,0.6867816825001579,0.054169187846966976,1.4897630663615085,3
MLP,pca,16,0.8758070353893282,0.006484837406725221,0.940227073875176,3
MLP,pls,16,0.8684465137840517,0.007719823881940401,0.9676264214382778,3
SVM,full,103,0.665002961635724,,1.5445534640031022,1
SVM,kpca,16,0.7541113616221646,,1.3232798305909474,1
SVM,pca,16,0.857990460697748,,1.0056369478733,1
SVM,pls,16,0.8438971003939097,,1.054357634569309,1
