k_channels,features,inner_cv_R2_mean,inner_cv_R2_sd,external_R2
2,single channel,0.9064729537960581,0.05643508217643894,0.9687830636649565
2,band-integrated (+/-7.5 cm-1),0.8951065058716126,0.06698539289634427,0.9628291496987214
3,single channel,0.931012578192267,0.02882948083935864,0.9781424224012147
3,band-integrated (+/-7.5 cm-1),0.9315695823415877,0.030338223406073197,0.977947633828921
4,single channel,0.8760101293978417,0.12452343887242581,0.983769264915724
4,band-integrated (+/-7.5 cm-1),0.8747008779711566,0.12769076405428756,0.9828600834768366
6,single channel,0.9545689838866362,0.038017980509348015,0.9878900076277866
6,band-integrated (+/-7.5 cm-1),0.9586245410358496,0.030139315131337597,0.9894997489020506
8,single channel,0.978026159568533,0.006170510785045408,0.9894359917553963
8,band-integrated (+/-7.5 cm-1),0.9805260078271651,0.006372563612560624,0.9906935443236646
10,single channel,0.9775319203478426,0.007565978339974366,0.9900071154354728
10,band-integrated (+/-7.5 cm-1),0.9800314598112697,0.005964377045990185,0.9916750240457386
12,single channel,0.9758166241913206,0.0074113244040968414,0.9910142170411709
12,band-integrated (+/-7.5 cm-1),0.9810599402788324,0.0049648888998442735,0.9925754808369679
16,single channel,0.9800334922026266,0.00534996745514002,0.992268416232512
16,band-integrated (+/-7.5 cm-1),0.9839358698716654,0.004214930278253216,0.9930765423135818
20,single channel,0.9825583234919133,0.0054066194430988455,0.9916472340533419
20,band-integrated (+/-7.5 cm-1),0.9859334349609368,0.004602997397372993,0.9924630612522146
24,single channel,0.9835841567663609,0.005021776499766398,0.9922957583409749
24,band-integrated (+/-7.5 cm-1),0.987096151089407,0.003740174050491748,0.9930363409567976
30,single channel,0.9845916195199932,0.005123307939417441,0.9925796214793972
30,band-integrated (+/-7.5 cm-1),0.9879040969520547,0.003232916452063531,0.9933339892199922
40,single channel,0.9890299858250676,0.00036840904622959864,0.9955886577394069
40,band-integrated (+/-7.5 cm-1),0.9910513039439175,0.0009218867186952097,0.9960573048623466
1762,full-spectrum PLS (12 LV),,,0.9943223164955397
